"gamename",positive,negative,rating
"A Date in the Park",1111,175,0.8218
"A Day",12,0,0.769
"A Day For A Kitten",25,10,0.6414
"A Day in the Life of Maria",1,0,0.5942
"A Day in the Woods",18,0,0.7939
"A Day Without Me",38,6,0.748
"A dead world's dream",26,11,0.6349
"A Demon's Game - Episode 1",25,14,0.5946
"A Detective's Novel",555,268,0.6513
"A Divided Light",4,1,0.6251
"A dragon girl looks up at the endless sky",35,5,0.7524
"A Dragon's Tale VR",1,1,0.5
"A Dream For Aaron",12,6,0.598
"A Dream of Burning Sand",0,1,0.4058
"A Druid's Duel",78,28,0.6781
"A Duel Hand Disaster: Trackher",25,2,0.7697
"A Dump in the Dark",173,74,0.6623
"A Familiar Fairytale: Dyslexic Text Based Adventure",2,3,0.4583
"a Family of Grave Diggers",7,9,0.4641
"A Fear Of Heights, And Other Things",48,8,0.7514
"A Feeble Saga",36,12,0.6725
"A Fine Mess",17,6,0.6473
"A Fisherman's Tale",626,38,0.8802
"A Fistful of Gun",289,157,0.6244
"A five-day tour in the morgue",2,6,0.379
"A Flappy Bird in Real Life",1,0,0.5942
"A Fold Apart",47,11,0.7194
"A Foretold Affair",17,2,0.7345
"A Forgetful Loop",3,0,0.6706
"A Front Too Far: Normandy",96,50,0.6225
"A Game About",630,67,0.8476
"A Game For You, Josh",2,0,0.6408
"A Game of Changes",24,24,0.5
"A Game of Dwarves",312,177,0.6166
"A Game of Humans",38,9,0.7123
"A Game of Thrones - Genesis",220,439,0.3574
"A Game of Thrones: The Board Game",778,240,0.7314
"A Gay Love Story About Gay Love",146,25,0.7787
"A Gay's Life",220,11,0.8646
"A Gentlemanly Adventure",4,1,0.6251
"A Ghostly Tale",1,0,0.5942
"A Giant Problem",3,0,0.6706
"A Girls Fabric Face",106,16,0.7822
"A Glider's Journey",39,23,0.592
"A God-Like Backhand!",2,3,0.4583
"A Golden Wake",161,60,0.6836
"A Good Snowman Is Hard To Build",558,29,0.8845
"A grande bagunça espacial - The big space mess",677,391,0.6175
"a guard walks into a tavern",28,3,0.7612
