"gamename",positive,negative,rating
"Joe Dever's Lone Wolf HD Remastered",483,150,0.7253
"Joe Jump",5,0,0.7084
"Joe's Diner",75,120,0.4082
"Joe's Wrath",3,3,0.5
"Joggernauts",50,9,0.7462
"Johann Weiss",14,4,0.6633
"John Lazarus - Episode 1: Dead Man's Origin",10,2,0.6793
"John Wick Chronicles",164,91,0.6162
"John Wick Hex",86,37,0.6525
"John, The Zombie",125,78,0.5924
"John:Condemned",5,6,0.4761
"Johnny Graves—The Unchosen One",29,15,0.6085
"Johnny Mystery and The Halloween Killer",17,6,0.6473
"Johnny Rocket",17,21,0.4648
"John's Wizard Dungeon",6,2,0.621
"johnsgame",20,22,0.4839
"Joint Operations: Combined Arms",174,22,0.8087
"Joint Task Force",161,25,0.7899
"Jolly Battle",83,11,0.7857
"Jolly Good: Cakes and Ale",24,0,0.8103
"Jolly Rover",271,33,0.8215
"JOLT: Super Robot Racer",8,4,0.5897
"Jon Shafer's At the Gates",203,235,0.4693
"Jonah's Path",46,21,0.6342
"Jonas Willy Online",7,0,0.7326
"Jones On Fire",124,79,0.5885
"Jorji and Impossible Forest",8,5,0.5632
"JORRY",10,0,0.7571
"Josh Journey: Darkness Totems",6,0,0.7217
"Josie's Tank",23,1,0.7844
"Jotun: Valhalla Edition",6030,1665,0.7644
"Joumee The Hedgehog",34,28,0.5345
"Journal",266,73,0.7354
"Journey",12334,684,0.9216
"Journey For Elysium",49,4,0.7968
"Journey of a Roach",1305,179,0.8373
"Journey of Greed",1057,79,0.8787
"Journey of Haha",12,1,0.7319
"Journey of Johann",3,0,0.6706
"Journey of Life",399,242,0.605
"Journey of the Broken Circle",11,1,0.7242
"Journey of the Fox",0,1,0.4058
"Journey of the King",5,18,0.326
"Journey Through Memories",4,1,0.6251
"Journey to Alien Worlds",7,0,0.7326
"Journey to Luonto",17,4,0.6875
"Journey to New Atlantis",0,2,0.3592
"Journey To Planet Earth",7,9,0.4641
"Journey To The Center Of The Earth",429,222,0.6364
"Journey to the Centre of the Cell",7,2,0.6389
"Journey To The Savage Planet",1571,231,0.8329
"Journey: Benjamin's Adventures",7,0,0.7326
"JoustMania",7,1,0.6815
"Joy Climb",33,4,0.7608
"Joy Pony",147,73,0.6351
"Joy the Pug",1,0,0.5942
"JOYDOOR",3,4,0.4668
"Joyfess Ep1: Martin's Secret Recipe",18,3,0.7163
"Joyo Kanji Quiz - ????",8,0,0.7419
"JQ: Beautiful Japan",49,16,0.6819
"JQ: chemistry",74,24,0.6911
"JQ: cosmos",16,3,0.7033
"JQ: countries",56,39,0.5668
"JQ: dogs & cats",63,14,0.7325
"JU",18,0,0.7939
"Juan v Juan",17,4,0.6875
"Juanito Arcade Mayhem",252,18,0.8531
"Jubeez",4,0,0.692
"Judas",75,26,0.6823
"Judge Dredd 95",5,7,0.4552
"Judge Dredd: Dredd vs Death",703,105,0.8207
"Judged: A Court Simulator",1,10,0.2845
"Judgement",9,10,0.4844
"JUDGEMENT SILVERSWORD - Resurrection -",46,3,0.8036
"Judgment: Apocalypse Survival Simulation",1428,303,0.7905
"Juggly",1,0,0.5942
"Juice Girl",105,33,0.7018
"Juice Mania",4,5,0.4722
"Juiced!",88,5,0.8326
"Juicy Army: Prologue",4,0,0.692
"Juicy Hentai",168,20,0.8124
"Juicy Memory Card",4,6,0.4486
"Juicy Realm",2552,333,0.8496
"JUJU",93,6,0.8295
"Juke",1,0,0.5942
"Juken Jigoku | ????",33,14,0.6391
"Juliäntli",18,1,0.7658
"Julie's Sweets",7,0,0.7326
"July the Lost Child",9,0,0.75
"Jumanji: The Video Game",17,20,0.473
"Jump",26,13,0.6118
"Jump Again!",1,1,0.5
"JUMP AND RUN - DON'T FALL",5,1,0.6478
"Jump Boy",0,2,0.3592
"Jump Doper",2,1,0.5569
"JUMP FORCE",8632,3551,0.6962
"Jump Gunners",31,6,0.7248
"Jump Jumpz",18,10,0.591
"Jump King",4378,453,0.8746
"Jump Off The Bridge",140,17,0.8064
"Jump Stars",13,19,0.439
"Jump Tanks",4,1,0.6251
"Jump To Die 2 - Bloody Soul",32,10,0.6775
"Jump To Die!!",63,25,0.66
"JUMP UP",3,3,0.5
"Jump With Dragons",2,3,0.4583
"Jump with Friends",40,27,0.5698
"Jump! Jump! Jump!",8,12,0.44
"Jump, Step, Step",8,2,0.6542
"Jumpala",21,0,0.8028
"Jumpala: Tryouts Edition",19,0,0.7971
"JumpBall 2",4,4,0.5
"Jumpdrive",67,92,0.4384
"JUMPER : SPEEDRUN",7,12,0.4218
"Jumper Jape",15,0,0.783
"Jumper Magic",4,5,0.4722
"Jumper Starman",11,2,0.6897
"Jumper Tree",1,0,0.5942
"Jumperbird",4,17,0.3125
"JumpFist",2,1,0.5569
"JUMPGRID",58,2,0.8313
"JumpHead: Battle4Fun!",2,0,0.6408
"Jumphobia XL",2,1,0.5569
"Jumping Jax",22,1,0.7811
"Jumping Joe",18,1,0.7658
"Jumping Knight",14,0,0.7787
"Jumping Mellow",6,0,0.7217
"Jumping Over It With Kang KiYun",17,12,0.5552
"Jumping Over It With Neko Girl",2,3,0.4583
"Jumping Platform Minigame",1,0,0.5942
"Jumpix Jump",22,25,0.478
"JumpJet Rex",393,53,0.8205
"JumpJumpBall",1,0,0.5942
"Jumplord",3,0,0.6706
"JumPlose",1,0,0.5942
"JumpMan",4,1,0.692
"Jumponaut",1,1,0.5
"JumpoPitec",0,1,0.4058
"Jumps",240,11,0.8698
"JumpSky",61,56,0.5163
"JumpStream",9,4,0.6054
"Jungle Dino VR",0,1,0.4058
"Jungle Guardians",49,23,0.6309
"Jungle Juggle",0,1,0.4058
"Jungle Town: Birthday quest",3,1,0.596
"Jungle Z",6,5,0.5239
"JungleKnight",5,7,0.4552
"Jungles of Maxtheria",1,0,0.5942
"JungleShoot",1,5,0.3522
"Junglex",24,12,0.6105
"Jung's Labyrinth",27,10,0.6529
"Juniper Theory",0,1,0.4058
"Juniper's Knot",198,8,0.8686
"Junk Jack",306,85,0.7358
"Junk on Wheels",5,4,0.5278
"JunkerBot",13,0,0.7741
"JunkYard Prologue",200,197,0.5032
"Junkyard Simulator: First Car (Prologue 2)",98,34,0.6868
"Juno's Darkest Hour",16,1,0.7564
"Jupiter Hell",364,27,0.8595
"Jupiteration",18,6,0.6551
"Jurassic Attack",21,1,0.7777
"Jurassic City Walk",3,20,0.2724
"Jurassic Fantasy",2,0,0.6408
"Jurassic Island: The Dinosaur Zoo",5,76,0.178
"Jurassic Park: The Game",1211,627,0.6423
"Jurassic Safari Hunt",3,19,0.2779
"Jurassic Survival",10,30,0.3317
"Jurassic World Evolution",34800,6256,0.8334
"Jurisdiction",9,3,0.6345
"Just a Cleric",31,8,0.6977
"Just A Dream",53,10,0.7437
"Just a Game",16,15,0.5104
"just a game to test your lQ",78,37,0.6356
"Just a Jumping Square",4,2,0.5739
"Just Alone",22,38,0.4053
"Just Another Memory",7,0,0.7326
"Just Arms",20,3,0.7276
"JUST BAT (VR CRICKET)",9,2,0.6676
"Just Beat Em Up : World of Fury",25,7,0.6831
"Just Bones",18,7,0.6375
"Just Cause",2401,1209,0.6511
"Just Cause 2",40859,4047,0.8936
"Just Cause 2: Multiplayer Mod",13465,1208,0.8944
"Just Cause 3",68183,17070,0.7899
"Just Cause 4",11185,7958,0.58
"Just Cause™ 3: Multiplayer Mod",1595,499,0.7355
"Just Chatting",10,17,0.4179
"Just Dance 2017",1480,380,0.765
"JUST DASH",17,12,0.5552
"Just Death",15,17,0.4797
"Just Deserts",222,75,0.7029
"Just Drift It !",28,16,0.593
"Just Fishing",665,210,0.7262
"Just Get Through",187,27,0.7996
"Just Hero",148,142,0.5085
"Just Ignore Them",362,106,0.7306
"Just In Time Incorporated",136,30,0.7509
"Just Jump",62,17,0.7087
"Just Like Golf",3,1,0.596
"Just Old",2,3,0.4583
"Just One Color",6,1,0.6662
"Just One Line",70,29,0.6553
"Just Random Squares",8,0,0.7419
"Just Ride: Apparent Horizon",120,44,0.6819
"Just Roll With It",1,0,0.5942
"Just Shake It",4,0,0.692
"Just Shapes & Beats",9995,199,0.9506
"Just Ski",107,14,0.7938
"Just Sleep - Meditate, Focus, Relax",15,2,0.7222
"Just Spin",3,1,0.596
"Just Survive",47058,32786,0.5864
"Just Survive Test Server",266,119,0.6591
"Just Take Your Left",12,5,0.6196
"Just VR Slingshot Target Practice",11,1,0.7242
"Just, Bearly",391,24,0.8702
"JustDefense",6,1,0.6662
"Justice",1,1,0.5
"Justice League VR",9,17,0.4032
"JuVentures",29,2,0.7821
"jwing - the next puzzle game",3,0,0.6706
"JYDGE",537,80,0.8168
"K Station",10,0,0.7571
"K.O.M.A",6,4,0.5514
"K37-D",3,0,0.6706
"Ka Mate",14,20,0.442
"Kaapelipeli: The Cable Game",2,0,0.6408
"Kabitis 2: Fire Sword",0,2,0.3592
"Kaboom Monsters",62,48,0.5482
"Kabounce",2353,201,0.8816
"Kabukicho Story",25,4,0.732
"Kadath",14,0,0.7787
"Kaede the Eliminator / Eliminator ??",397,56,0.8167
"Kaet Must Die!",10,3,0.6476
"Kagura's Dreamland",8,2,0.6542
"Kai Entity",9,1,0.7057
"Kai Yuen's Overlapped Universe",1,2,0.4431
"Kaiju Big Battel: Fighto Fantasy",26,0,0.8146
"Kaiju Kite Attack",2,1,0.5569
"Kaiju Krashers",1,2,0.4431
"Kaiju Panic",22,7,0.6657
"Kaiju-A-GoGo",192,96,0.6364
"Kaion Tale MMORPG",131,39,0.713
"Kairo",1204,433,0.7101
"Kairos'Light",69,4,0.8233
"Kaisuo",33,10,0.6818
"KAJA:????????",2,0,0.6408
"Kakatte Koi Yo!",12,0,0.769
"Kakele Online - MMORPG",3,4,0.4668
"Kaku Ancient Seal (Alpha)",49,26,0.6117
"Kakuro",3,8,0.3803
"Kakuro Blend",2,0,0.6408
"kakusankibou / ????",112,27,0.7367
"Kalaban",30,29,0.506
"Kaleido Chaos",1,6,0.3338
"KALEIDO STELLA",8,0,0.7419
"Kalidazkoph",4,4,0.5
"Kalimba",333,23,0.8612
"Kalling Kingdom",0,1,0.4058
"Kama Bullet Heritage",51,34,0.5738
"Kama Bullet Heritage 2",17,53,0.3141
"Kamasutra Connect : Sexy Hentai Girls",37,18,0.6213
"Kamboja",3,0,0.6706
"KAMI",1092,45,0.9051
"Kamikaze Cube",29,54,0.3891
"Kamikaze Cube 2",11,33,0.3295
"Kamikazo VR",3,8,0.3803
"KAMIKO",82,9,0.7983
"Kamile: The Fall",17,6,0.6473
"Kamimachi Site - Dating story",100,30,0.7072
"Kamio Recoil",3,1,0.596
"Kamodo Steve: Janitor on Fire!",1,0,0.5942
"Kamtris",1,2,0.4431
"KAMUI",131,11,0.8277
"Kana Quest",18,1,0.7658
"KANAPOCALYPSE",2,1,0.5569
"Kandagawa Jet Girls",135,17,0.8028
"Kandidatos",1612,147,0.8725
"Kandidatos Kart",288,25,0.8457
"Kane & Lynch 2: Dog Days",4008,2570,0.6016
"Kane & Lynch: Dead Men",1822,1071,0.618
"Kane's Shadow",2,0,0.6408
"Kanji in Motion",3,3,0.5
"Kanji Training Game",73,19,0.7185
"KANNA",1,5,0.3522
"Kanojo x Switch",9,1,0.7057
"Kanojo xx Switch",0,1,0.4058
"Kansei",5,1,0.6478
"Kao the Kangaroo: Round 2",5888,377,0.9082
"Kaori After Story",403,7,0.904
"Kaos",1,0,0.5942
"Kapsul Infinite",5,0,0.7084
"Kaptain Brawe",94,34,0.6801
"Kaputte Kranz Chap1",6,3,0.5833
"Kara no Shojo",206,15,0.8472
"KARAKARA",1574,152,0.8683
"KARAKARA2",514,28,0.881
"Karakuri-kun: A Japanese Tale",3,0,0.6706
"Kara's Darkness Chapter 1",2,4,0.4261
"Karaski: What Goes Up...",46,7,0.7572
"Karate Cat",80,4,0.8336
"Karate Krab",10,0,0.7571
"Karate Master 2 Knock Down Blow",481,86,0.7967
"Karateka",189,86,0.6528
"KARDS - The WWII Card Game",15471,2704,0.8329
"Kare wa Kanojo",31,10,0.673
"Karen",3,1,0.596
"Karen: An Outrage Simulator",120,7,0.8416
"Kari",69,21,0.6981
"Karl BOOM",1,2,0.4431
"Karloman and His Iced Muffins",3,0,0.6706
"Karma",11,30,0.3435
"Karma - Chapter 1",1,0,0.5942
"Karma City Police",48,3,0.8069
"Karma Miwa",34,16,0.6249
"Karma. Incarnation 1",288,54,0.7831
"Karmaflow: The Rock Opera Videogame",134,54,0.6689
"KarmaKnight",45,7,0.7548
"Kármán line: the edge of war",8,0,0.7419
"Karmasutra",18,6,0.6551
"Karnage Chronicles",769,89,0.8444
"Karos",266,190,0.5701
"Karos Returns",359,136,0.6905
"Karradash - The Lost Dungeons",9,3,0.6345
"KART CHASER : THE BOOST VR",25,9,0.6546
"Kart Racing Pro",156,30,0.7686
"Karting",108,14,0.7948
"Karting Grand Prix Minigame",13,1,0.7389
"KartKraft",1274,246,0.8009
"Kartofank VR",6,0,0.7217
"KARTOFELKA",23,25,0.4856
"Kartong",53,8,0.7624
"Kasi",62,1,0.8457
"Kasmo",4,1,0.6251
"Kastle Krush",5,1,0.6478
"Katamari Damacy REROLL",2597,189,0.8925
"KATANA KAMI: A Way of the Samurai Story",163,111,0.5774
"Katana Kata",33,12,0.6596
"Katana Soul",27,0,0.8166
"Katana X",76,20,0.7181
"Katana ZERO",33718,573,0.9624
"Kate's Test",12,2,0.6991
"Katharsis",34,12,0.6641
"Kathy Rain",2925,230,0.8893
"Katie",26,6,0.7034
"Katy & Bob: Cake Café",28,4,0.7441
"Katy and Bob Way Back Home",55,12,0.7308
"Katy and Bob: Safari Cafe",108,14,0.7948
"Kautic - The Bald Wizard",20,6,0.6694
"Kavel",1,0,0.5942
"KaveXplorer",5,0,0.7084
"Kawaii Deathu Desu",64,24,0.6684
"Kawaii Girl",62,24,0.6633
"Kawaii Girl 2",162,96,0.6039
"Kawaii girls puzzle",15,3,0.6959
"Kawaii Rainbow Portal",20,11,0.594
"Kawanakajima no Kassen / ??????",4,1,0.6251
"Kaz Ball",21,4,0.7125
"Kazakh Drive",145,18,0.8057
"Kazakh 'Jack",2,0,0.6408
"Kaze and the Wild Masks",251,6,0.8871
"KByte",26,2,0.773
"Keatz: The Lonely Bird",10,11,0.4856
"Kebab House",2,7,0.3611
"Kebab it Up!",26,4,0.7363
"Kedemara - The Orphan's Ballad",6,0,0.7217
"Keebles",55,19,0.6769
"Keen",101,3,0.8551
"Keep Balance VR",5,4,0.5278
"Keep Defending",43,6,0.7613
"Keep in Mind: Remastered",145,34,0.7451
"Keep It Safe 2",1,3,0.404
"KEEP OUT",27,11,0.6406
"Keep Rollin!",23,7,0.6718
"Keep Running",1,0,0.5942
"Keep Talking and Nobody Explodes",8985,180,0.9495
"Keep Wall",1,0,0.5942
"Keep Watching",9,3,0.6345
"Keeper 2119",3,0,0.6706
"Keeper of the Day and Night",13,0,0.7741
"Keeper of the Sun and Moon",13,2,0.7075
"KeeperRL",639,80,0.8351
"Keepers Dungeon",12,1,0.7319
"Keepers of the Trees",31,12,0.6502
"KEEPER-the hunter of insect",3,1,0.596
"Keeplanet",15,7,0.6111
"Keepsake",180,34,0.7734
"KeepUp Survival",52,19,0.6683
"KEIKA - A Puzzle Adventure",13,3,0.6793
"Keiko Everlasting",4,1,0.6251
"Keizudo",1,1,0.5
"KEL Reaper of Entropy",23,22,0.5076
"Kelipot / ????",526,67,0.8304
"Kelvin and the Infamous Machine",648,77,0.8396
"Kemono Mahjong",38,2,0.8029
"Kemonomichi-White Moment-",1,1,0.5
"Ken Follett's The Pillars of the Earth",3417,253,0.8946
"Kenbo",4,2,0.5739
"KENDAMVR - Virtual Reality Kendama",0,1,0.4058
"Kendo",1,1,0.5
"Kenshi",40435,2326,0.9276
"Kensho",41,5,0.7685
"Kentucky Dash",1,0,0.5942
"Kentucky Route Zero",2325,536,0.7842
"Keplerth",734,83,0.8455
"Kerbal Space Program",84033,5132,0.9281
"Kerfuffight",4,0,0.692
"Kernmantle",3,0,0.6706
"Kero Blaster",842,59,0.8785
"Kessler Effect",7,7,0.5
"Ke-Tsu-No-Ana",9,6,0.5566
"Key Escape",14,0,0.7787
"Key Of Impasse",76,12,0.7695
"KeyBoard Guitar Master",12,2,0.6991
"Keyboard Killers",147,135,0.5174
"Keyboard Piano-ist",3,2,0.5417
"Keyboard Warrior",1,1,0.5
"keyg",91,13,0.7826
"Keys",1,0,0.5942
"Keyscaper",3,0,0.6706
"Keystones",2,0,0.6408
"Keywords of A Life",2,1,0.5569
"Khaba",27,3,0.7577
"Khan VS Kahn",126,84,0.58
"Khan: Absolute Power",96,77,0.5433
"Khaos Wind",4,0,0.692
"Kharon's Crypt - Even Death May Die",37,0,0.8327
"Khet 2.0",133,15,0.8103
"Khimera: Destroy All Monster Girls",1154,56,0.9002
"Khimera: Puzzle Island",58,0,0.8535
"KHIO",3,0,0.6706
"KHOLAT",3949,1854,0.6672
"Khospis",5,3,0.5605
"Khufu's Delivery Service",1,0,0.5942
"Kiai Resonance",150,37,0.7397
"Kiara And My Ara Ara Adventure",51,1,0.8353
"Kick Ass Commandos",383,23,0.8707
"Kick it, Bunny!",3,1,0.596
"Kick The Anime Simulator",34,73,0.3623
"Kick The Puppet",10,6,0.5717
"Kick the VIRUS",5,2,0.5997
"Kick Them Out!!!",3,0,0.6706
"Kick-Ass 2",41,179,0.2481
"KickBeat Steam Edition",488,253,0.6369
"kicker",3,1,0.596
"Kickoff Legends",19,10,0.5994
"Kicks Online",156,42,0.7294
"Kickshot",45,10,0.7235
"Kid Baby: Starchild",2,1,0.5569
"Kid,napper: Gosh, I'm Kidnapped by a Pupil",3250,376,0.8627
"Kidgilantes",2,1,0.5569
"Kidnapped",302,228,0.5593
"Kidnapped Girl",2955,440,0.8384
"Kidnapped! A Royal Birthday",8,10,0.4673
"KIDS",1121,228,0.7932
"Kids Learn",4,2,0.5739
"Kids Memory Game",3,2,0.5417
"Kids Memory Game 2",0,1,0.4058
"Kids of Hellas: Back to Olympus",31,2,0.7874
"Kidz",227,34,0.8006
"Kiiroi Hana",8,5,0.5632
"Kiitsu",1,0,0.5942
"Kika & Daigo: A Curious Tale",51,22,0.6443
"Kiki & Ana - The Child",8,0,0.7419
"KiKiMiMi/ ??????",27,1,0.7958
"KiKiMiMi2 / ??????2",20,0,0.8
"KiKi's adventure",22,7,0.6657
"Kilcount",24,3,0.7463
"Kilemol",1,0,0.5942
"Kili's treasure",12,3,0.6698
"Kill Demons",2,0,0.6408
"Kill 'Em All",10,2,0.6793
"Kill Fish",10,0,0.7571
"Kill Fun Yeah",37,46,0.4601
"Kill Him! Online Wars",20,19,0.5086
"Kill It With Fire",954,30,0.9106
"Kill It With Fire: HEATWAVE",1066,82,0.8772
"Kill It With Fire: IGNITION",1267,100,0.8783
"KILL la KILL -IF",600,246,0.6817
"Kill or Love",1481,155,0.8616
"Kill The Bad Guy",216,124,0.6119
"Kill The Censored",2,10,0.3207
"Kill The Censored 2",2,6,0.379
"Kill the Dictator",21,5,0.6936
"Kill The Humans",1,0,0.5942
"Kill The Monster",2,1,0.5569
"Kill The Plumber",68,28,0.6558
"Kill The Santa",6,1,0.6662
"Kill the Superweapon",12,2,0.6991
"Kill Tiger",1,0,0.5942
"Kill to Collect",166,71,0.6618
"Kill Yourself",32,5,0.7428
"Killbot",37,68,0.3886
"Killbox",32,18,0.5971
"Killer Chambers",42,6,0.7588
"Killer Clowns",2,1,0.5569
"Killer Dog",7,2,0.6389
"Killer Elite – Time to Die",5,20,0.3125
"Killer Gin",10,1,0.7155
"Killer Inside Us",27,1,0.7958
"Killer Instinct",2691,253,0.8767
"Killer is Dead",5622,1808,0.7391
"Killer Klownz",4,6,0.4486
"Killer Queen Black",440,34,0.8613
"Killer Sudoku",43,3,0.7983
"Killer Tank",13,3,0.6793
"Killer: Infected One of Us",94,76,0.5417
"killer7",1245,50,0.908
"Killers and Thieves",65,70,0.4857
"KILLING A SUPERSTAR",6,3,0.5833
"Killing Floor",58536,2855,0.9371
"Killing Floor - Toy Master",21,2,0.7544
"Killing Floor 2",88823,12198,0.8674
"Killing Floor Mod: Defence Alliance 2",304,503,0.3931
"Killing Floor: Incursion",397,320,0.5463
"Killing random dudes online",2,2,0.5
"Killing Room",806,343,0.6773
"Killing Sun / ?????:????",3,3,0.5
"Killing Time",770,275,0.7076
"Killing Time at Lightspeed: Enhanced Edition",101,20,0.7559
"Killing Trials",6,1,0.6662
"Killing Zombies",19,5,0.681
"Killjoy Hunter Yuuko",25,1,0.7904
"Killsquad",1490,715,0.6584
"KillSteel",191,40,0.7634
"Killstreak",0,2,0.3592
"KillStreak.tv",319,56,0.7918
"Kilta",24,5,0.7099
"Kim",56,9,0.7591
"Kim Jong-Boom",30,53,0.398
"Kim Shooter",2,0,0.6408
"Kimmy",49,8,0.7537
"Kimono Girls",45,7,0.7548
"KIN",4,3,0.5332
"Kinacoustic",17,1,0.7613
"Kinaman vs Gray Elephant",12,19,0.4269
"Kind Words",5690,92,0.9484
"Kinda Heroes",44,16,0.6656
"Kindergarten",3645,194,0.912
"Kindergarten 2",1548,49,0.9184
"Kindled Cavern",14,2,0.7152
"Kindred Spirits on the Roof",868,27,0.9091
"Kine",57,2,0.8302
"Kinese",9,0,0.75
"KINESIS",4,1,0.6251
"Kinetic Edge",5,0,0.7084
"Kinetic Void",279,1232,0.2195
"King and Assassins",19,45,0.3547
"King Arthur - Fallen Champions",14,26,0.399
"King Arthur - The Role-playing Wargame",356,147,0.6758
"King Arthur II - The Role-playing Wargame",224,198,0.5258
"King Arthur: Knight's Tale",380,78,0.7776
"King Arthur's Gold",3938,754,0.8127
"King Battle",2,3,0.4583
"King Erik",2,1,0.5569
"King Exit",4637,243,0.9153
"King Kaiju",111,30,0.7226
"King Lucas",94,41,0.6516
"King Machine",1,2,0.4431
"King Oddball",58,5,0.8004
"King Of Bali",76,87,0.4735
"King of Booze: Drinking Game",34,7,0.7224
"King of Crabs",4262,1109,0.7714
"King of Crowns Chess Online",3,6,0.4167
"King Of Dirt",14,13,0.5117
"King of Dragon Balls",20,12,0.5814
"King of Dragon Pass",313,68,0.7678
"King Of Gods: Angel The Awakening Of A Demon",0,2,0.3592
"King of Halloween",7,3,0.6028
"King of Mazes",5,7,0.4552
"King of my Castle VR",2,5,0.4003
"King of Phoenix",20,11,0.594
"King of Queendoms",22,23,0.4924
"King of Retail",1166,84,0.8822
"King of Spies",5,3,0.5605
"King of Spin VR",7,6,0.5211
"King of Texas",28,23,0.5341
"King of the Couch: Zoovival",186,52,0.7274
"King of the Cul-De-Sac",37,3,0.786
"King of the Dead",1,4,0.3749
"King of the Eggs",12,6,0.598
"King of the Streets",6,1,0.6662
"King of the World",74,21,0.7083
"King of Vikings",7,3,0.6028
"King of Volleyball",4,2,0.5739
"KING PONG",9,3,0.6345
"King Rabbit",273,18,0.8588
"King Randall's Party",2,0,0.6408
"King rocket",2,0,0.6408
"King’s Bounty: Legions",665,599,0.5231
"KingAndSlaves",1,4,0.3749
"Kingdom City Drowning Ep1 - The Champion",8,9,0.4829
"Kingdom Clicker",13,13,0.5
"Kingdom Come: Deliverance",63529,14401,0.8046
"Kingdom Defense",32,45,0.4383
"Kingdom Elemental",14,13,0.5117
"Kingdom Karnage",8,7,0.5189
"Kingdom of Aurelia: Mystery of the Poisoned Dagger",56,20,0.6728
"Kingdom of Bees",1,2,0.4431
"Kingdom of Blades",6,1,0.6662
"Kingdom of Corrupts",5,4,0.5278
"Kingdom Of Force",4,1,0.6251
"Kingdom of Loot",205,161,0.5499
"Kingdom Of Rhea",57,55,0.5068
"Kingdom of the Dragon",25,9,0.6546
"Kingdom Rush",7487,252,0.9359
"Kingdom Rush Frontiers",4386,154,0.9291
"Kingdom Rush Origins",3207,160,0.9132
"Kingdom Rush Vengeance",2561,111,0.9158
"Kingdom Tales",26,24,0.5139
"Kingdom Tales 2",8,6,0.5398
"Kingdom Two Crowns",6524,870,0.8562
"Kingdom Under Fire 2",1381,847,0.6081
"Kingdom Under Fire: Heroes",180,44,0.7441
"Kingdom Under Fire: The Crusaders",686,59,0.8634
"Kingdom vs Zombies",5,1,0.6478
"Kingdom Warrior",6,4,0.5514
"Kingdom Wars",1816,881,0.6573
"Kingdom Wars 2: Battles",609,348,0.6191
"Kingdom Wars 2: Definitive Edition",213,94,0.6593
"Kingdom Watcher",8,3,0.6197
"Kingdom: Classic",15201,1667,0.8798
"Kingdom: New Lands",6920,1051,0.8435
"Kingdom: The Far Reaches",1,0,0.5942
"Kingdom-Heroes",3,4,0.4668
"Kingdoms",2544,679,0.7639
"Kingdoms and Castles",15427,1440,0.8925
"Kingdoms CCG",72,66,0.5168
"Kingdoms In Chaos",23,13,0.5921
"Kingdoms of Amalur: Reckoning™",10955,1422,0.8625
"Kingdoms of Amalur: Re-Reckoning",2442,954,0.7001
"Kingdoms of Marazia: Classic",9,3,0.6345
"Kingdoms Reborn",1866,213,0.8577
"Kingdoms Rise",466,610,0.4413
"Kingpin",238,59,0.7471
"Kingpin Royale",2,0,0.6408
"Kings",8,17,0.3875
"Kings and Heroes",452,362,0.5479
"King's Bounty: Armored Princess",718,67,0.8589
"King's Bounty: Crossworlds",802,73,0.8624
"King's Bounty: Dark Side",903,350,0.6949
"King's Bounty: The Legend",1922,194,0.8676
"King's Bounty: Warriors of the North",1033,226,0.7831
"Kings' Cross",4,4,0.5
"King's Cup: The online multiplayer drinking game",10,0,0.7571
"King's Guard TD",213,133,0.5957
"King's Heir: Rise to the Throne",78,29,0.673
"King's League II",65,14,0.7365
"Kings of Israel",57,7,0.7794
"Kings of Kung Fu",419,228,0.6266
"Kings of Lorn: The Fall of Ebris",29,20,0.5636
"Kings Of Streets",60,45,0.5539
"Kings Of Wings",12,0,0.769
"King's Quest",2116,258,0.8536
"King's Quest Collection",186,38,0.7657
"King's Table - The Legend of Ragnarok",5,5,0.5
"Kings Town",13,2,0.7075
"KingSim",87,9,0.8038
"Kingslayer: The First Assassin",30,0,0.8222
"Kingspray Graffiti",467,71,0.8126
"Kingsway",1005,105,0.8563
"Kink",1,0,0.5942
"Kinkshamed",7,1,0.6815
"Kinky Fight Club",38,15,0.6517
"Kinoko",613,110,0.7999
"Kio's Adventure",1400,380,0.7564
"Kira",18,9,0.6055
"Kirakira stars idol project Ai",51,8,0.7582
"Kirakira stars idol project Reika",13,0,0.7741
"Kirakira stars project Nagisa",24,1,0.7875
"Kira's Contract",1,3,0.404
"Kirchhoff's Revenge",80,23,0.7083
"KIRO",11,0,0.7634
"Kisaragi no Hougyoku",0,2,0.3592
"Kismet",115,9,0.8275
"Kissing Simulator",50,15,0.693
"Kitchen Island VR",3,1,0.596
"Kitchen Simulator 2",6,19,0.3375
"Kitchen Simulator 2015",25,81,0.3006
"Kite",24,2,0.7662
"Kith - Tales from the Fractured Plateaus",38,9,0.7123
"Kitrinos: Inside the Cube",31,7,0.711
"Kitsune Kitchen",33,8,0.7059
"KITT.IO",10,1,0.7155
"Kitten adventures in city park",417,30,0.864
"Kitten and food: adventure park",9,4,0.6054
"Kitten Cannon",26,7,0.6883
"Kitten Life Simulator",18,15,0.5297
"Kitten Love Emulator",26,5,0.7194
"Kitten Madness",4,2,0.5739
"Kitten Rampage",48,38,0.543
"Kitten Squad",69,52,0.5537
"Kitten'd",55,8,0.7664
"Kittens' Maze",5,4,0.5278
"Kittens of Fear",1,1,0.5
"Kitty Cat: Jigsaw Puzzles",171,42,0.7426
"Kitty Hawk",4,1,0.6251
"Kitty Kitty Boing Boing: the Happy Adventure in Puzzle Garden!",12,3,0.6698
"Kitty Nigiri",2,0,0.6408
"Kitty Play",14,5,0.6407
"Kitty Powers' Love Life",110,12,0.8073
"Kitty Powers' Matchmaker",836,41,0.8943
